customer_id,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,total_spend,age,has_loyalty_card
46,0,1.0,1.0,1.0,4.0,16221.0,1325.0,12.0,2009.0,439.0,177.0,729.0,87.0,2111.0,80.0,436.0,32.0,0.0899605382861564,2019.0,22885.0,71.0,1
47,0,0.0,1.0,1.0,4.0,3836.0,40.0,21.0,232.0,301.0,477.0,1262.0,696.0,467.0,434.0,428.0,188.0,0.5893278251634426,2019.0,8173.0,50.0,1
48,0,2.0,0.0,2.0,2.0,9339.0,300.0,6.0,88.0,244.0,1033.0,507.0,467.0,316.0,137.0,370.0,87.0,0.8021778732399719,2016.0,12801.0,32.0,1
49,1,4.0,4.0,1.0,3.0,29112.0,5704.0,8.0,1508.0,963.0,1549.0,1341.0,511.0,887.0,606.0,64.0,329.0,0.1829629326719151,2025.0,41734.0,28.0,1
50,0,0.0,1.0,1.0,5.0,33106.0,2893.0,14.0,514.0,790.0,452.0,794.0,1271.0,825.0,307.0,410.0,128.0,0.0941141673878209,2018.0,41362.0,66.0,1
52,1,1.0,0.0,1.0,1.0,10551.0,8297.0,20.0,39.0,487.0,1363.0,697.0,433.0,540.0,736.0,5.0,37.0,0.2335421656467491,2016.0,35289.0,49.0,1
53,1,0.0,0.0,1.0,4.0,10375.0,454.0,11.0,95.0,94.0,170.0,486.0,734.0,39.0,223.0,43.0,98.0,1.0,2014.0,12490.0,54.0,1
54,0,0.0,0.0,2.0,2.0,14037.0,8297.0,22.0,90.0,601.0,1342.0,718.0,967.0,247.0,223.0,328.0,109.0,0.3376005577176389,2014.0,27717.0,51.0,1
55,1,2.0,3.0,1.0,1.0,31548.0,4885.0,11.0,979.0,1084.0,307.0,1808.0,901.0,642.0,223.0,456.0,166.0,0.0503315349347742,2012.0,42610.0,46.0,1
56,0,2.0,0.0,2.0,1.0,7706.0,1395.0,11.0,312.0,114.0,649.0,561.0,631.0,13.0,116.0,53.0,109.0,0.2457068193430098,2017.0,11550.0,35.0,1
57,0,2.0,3.0,2.0,1.0,8856.0,862.0,6.0,144.0,46.0,662.0,589.0,343.0,500.0,168.0,81.0,39.0,1.0,2017.0,12251.0,28.0,1
59,1,0.0,1.0,2.0,3.0,11036.0,446.0,23.0,450.0,95.0,148.0,461.0,361.0,688.0,284.0,475.0,18.0,0.4584183117437898,2014.0,14444.0,31.0,1
60,0,1.0,5.0,1.0,1.0,21035.0,4355.0,13.0,710.0,273.0,625.0,1557.0,830.0,594.0,450.0,624.0,45.0,0.1970857982962765,2008.0,31053.0,80.0,1
61,0,1.0,1.0,1.0,3.0,5241.0,2848.0,13.0,2290.125,580.0,250.0,46.0,281.0,1037.0,290.0,252.0,59.0,0.1318202582444303,2014.0,13339.0,32.0,1
62,0,2.0,2.0,1.0,1.0,9973.0,3875.0,9.0,1206.0,857.0,1261.0,1486.0,1205.0,620.0,313.0,193.0,361.0,0.1108472703578988,2005.0,20989.0,70.0,1
63,1,1.0,0.0,0.0,4.0,8375.0,3406.0,11.0,1572.0,305.0,438.0,83.0,67.0,748.0,151.0,32.0,41.0,0.1321238480605895,2011.0,15177.0,52.0,1
64,1,1.0,0.0,1.0,2.0,13355.0,673.0,9.0,547.0,79.0,194.0,748.0,511.0,106.0,179.0,16.0,62.0,0.5990170831946777,2017.0,15897.0,57.0,1
66,0,1.0,1.0,1.0,7.0,12155.0,2559.0,10.0,2093.0,621.0,410.0,45.0,79.0,607.0,156.0,171.0,127.0,0.0586036965773658,2010.0,18896.0,66.0,1
69,1,2.0,1.0,1.0,5.0,16752.0,466.0,13.0,1738.0,849.0,17.0,37.0,65.0,2237.5,228.0,397.0,120.0,0.1964968506860476,2015.0,23167.0,46.0,1
70,1,0.0,0.0,1.0,2.0,7863.0,2525.0,21.0,26.0,622.0,1016.0,648.0,497.0,402.0,736.0,311.0,193.0,0.276803492086756,2013.0,16866.0,80.0,1
71,0,1.0,2.0,3.0,4.0,9961.0,1725.0,16.0,1770.0,692.0,448.0,43.0,127.0,683.0,130.0,255.0,189.0,0.0597959273288908,2011.0,15834.0,50.0,1
72,1,2.0,0.0,1.0,4.0,5836.0,211.0,10.0,1318.0,356.0,322.0,106.0,86.0,2127.0,299.0,627.0,34.0,0.2278466768695096,2016.0,11288.0,65.0,1
73,0,1.0,0.0,0.0,2.0,4804.0,8297.0,18.0,161.0,349.0,1238.0,622.0,1441.0,151.0,736.0,365.0,18.0,0.3454144786395181,2021.0,21484.0,70.0,1
74,0,1.0,0.0,1.0,4.0,13382.0,1799.0,10.0,1910.0,547.0,162.0,106.0,25.0,1907.0,61.0,359.0,81.0,0.13208322630811,2016.0,20258.0,55.0,1
75,0,0.0,0.0,0.0,2.0,9583.0,8297.0,8.0,135.0,342.0,1438.0,995.0,124.0,43.0,736.0,292.0,165.0,0.2191056596387716,2017.0,26097.0,51.0,1
76,1,0.0,1.0,0.0,2.0,16686.0,1281.0,8.0,983.0,157.0,183.0,963.0,777.0,883.0,295.0,289.0,83.0,0.1313530667384041,2020.0,22497.0,74.0,1
77,0,1.0,0.0,1.0,1.0,27734.0,2269.0,11.0,2052.0,538.0,505.0,81.0,103.0,283.0,181.0,739.5,130.0,0.0303707864934123,2026.0,34534.0,28.0,1
78,0,2.0,2.0,0.0,1.0,14670.0,5754.0,14.0,232.0,1057.0,1110.0,1109.0,1824.0,1349.0,321.0,379.0,308.0,0.4541855193746511,2014.0,27805.0,62.0,1
79,0,0.0,1.0,0.0,5.0,26331.0,740.0,11.0,337.0,507.0,842.0,990.0,1119.0,890.0,223.0,537.0,195.0,0.7758343929075089,2006.0,32293.0,49.0,1
80,1,1.0,1.0,2.0,5.0,21442.0,1043.0,17.0,1118.0,99.0,1265.0,477.0,228.0,289.0,39.0,243.0,220.0,0.2630513932327908,2019.0,26243.0,27.0,1
81,0,2.0,0.0,2.0,1.0,6273.0,430.0,6.0,208.0,291.0,525.0,539.0,804.0,707.0,121.0,320.0,91.0,-0.2178053773779392,2020.0,10218.0,34.0,1
82,0,0.0,0.0,0.0,2.0,8073.0,1372.0,8.0,123.0,304.0,1326.0,367.0,259.0,237.0,441.0,171.0,49.0,0.609052506679316,2029.0,12673.0,24.0,1
83,0,0.0,0.0,1.0,3.0,10842.0,8297.0,16.0,91.0,810.0,1741.0,678.0,963.0,155.0,736.0,355.0,40.0,0.3770638581540876,2021.0,30060.0,86.0,1
84,1,1.0,1.0,1.0,3.0,39047.0,6045.0,14.0,218.0,1029.0,556.0,907.0,168.0,257.0,267.0,384.0,358.0,0.7467978428414461,2009.0,57507.0,45.0,1
85,0,2.0,4.0,3.0,2.0,1441.0,3934.0,9.0,405.0,513.0,278.0,1517.0,916.0,579.0,24.0,477.0,140.0,0.2823858766171893,2013.0,10084.0,72.0,1
86,1,1.0,1.0,0.0,4.0,23174.0,2382.0,10.0,155.0,529.0,795.0,1120.0,684.0,644.0,319.0,327.0,281.0,0.3861281392503943,2019.0,29802.0,59.0,1
87,0,1.0,1.0,1.0,3.0,28825.0,2948.0,15.0,459.0,687.0,716.0,884.0,1495.0,1314.0,161.0,739.5,337.0,-0.0221804768790281,2008.0,38405.0,48.0,1
89,1,1.0,1.0,1.0,4.0,13002.0,556.0,23.0,2228.0,162.0,395.0,67.0,51.0,1089.0,736.0,93.0,87.0,0.1262473214341531,2016.0,19206.0,32.0,1
90,0,0.0,0.0,2.0,1.0,6058.0,8297.0,23.0,501.0,809.0,704.0,979.0,635.0,211.0,736.0,71.0,104.0,0.3404408310625003,2018.0,20110.0,78.0,1
91,1,1.0,0.0,1.0,3.0,7932.0,69.0,13.0,551.0,226.0,156.0,583.0,256.0,644.0,5.0,319.0,67.0,0.9070557755568464,2018.0,10741.0,39.0,1
92,0,1.0,0.0,1.0,6.0,13071.0,157.0,8.0,505.0,717.0,575.0,192.0,1071.0,586.0,364.0,216.0,234.0,0.5268036064428512,2018.0,17454.0,42.0,1
94,1,1.0,1.0,1.0,1.0,5655.0,1051.0,12.0,1962.0,494.0,543.0,729.0,105.0,1151.0,238.0,30.0,36.0,0.1012932645549802,2015.0,11229.0,37.0,1
95,1,0.0,1.0,0.0,1.0,12254.0,1469.0,19.0,301.0,618.0,954.0,1000.0,1446.0,578.0,736.0,398.0,137.0,0.1016737098625224,2020.0,20581.0,63.0,1
97,0,1.0,0.0,2.0,4.0,14381.0,1017.0,20.0,201.0,172.0,134.0,989.0,1059.0,269.0,148.0,67.0,68.0,0.8094045771803405,2021.0,18437.0,37.0,1
100,1,2.0,1.0,0.0,4.0,9509.0,979.0,19.0,748.0,177.0,121.0,934.0,370.0,264.0,112.0,81.0,66.0,0.4868643818010812,2012.0,13295.0,35.0,1
102,0,0.0,0.0,2.0,1.0,4963.0,8117.0,20.0,287.0,170.0,795.0,762.0,827.0,92.0,736.0,414.0,84.0,0.4875727932321885,2016.0,17685.0,53.0,1
103,0,1.0,0.0,1.0,3.0,18813.0,1983.0,11.0,1620.0,636.0,63.0,220.0,141.0,2015.0,28.0,356.0,143.0,0.0958128950752033,2020.0,25875.0,65.0,1
105,0,3.0,5.0,1.0,2.0,39047.0,5030.0,13.0,1513.0,927.0,1910.5,1615.0,1769.0,1102.0,463.0,260.0,283.0,0.0813834962793859,2014.0,57965.0,68.0,1
106,1,0.0,0.0,2.0,1.0,8737.0,8297.0,21.0,206.0,645.0,1515.0,918.0,114.0,360.0,736.0,522.0,79.0,0.3015708906740711,2016.0,26440.0,71.0,1
107,1,1.0,2.0,1.0,4.0,19723.0,4206.0,11.0,167.0,720.0,578.0,997.0,979.0,867.0,413.0,376.0,379.0,0.6661432047076098,2007.0,29026.0,65.0,1
108,0,0.0,0.0,1.0,5.0,16207.0,638.0,18.0,465.0,204.0,113.0,943.0,511.0,751.0,96.0,571.0,55.0,1.0,2015.0,19988.0,83.0,1
109,0,3.0,1.0,0.0,3.0,14481.0,1031.0,12.0,1551.0,782.0,197.0,177.0,39.0,1784.0,170.0,322.0,124.0,0.3001345836946428,2011.0,20534.0,36.0,1
110,0,1.0,0.0,1.0,5.0,14372.0,2271.0,11.0,602.0,480.0,771.0,144.0,693.0,513.0,400.0,321.0,197.0,0.4329720461412199,2021.0,20567.0,64.0,1
111,0,1.0,1.0,1.0,3.0,25464.0,1280.0,16.0,1709.0,514.0,492.0,62.0,115.0,792.0,111.0,454.0,75.0,0.0534948295874103,2011.0,30993.0,64.0,1
112,0,2.0,0.0,2.0,1.0,9568.0,68.0,10.0,297.0,356.0,690.0,529.0,872.0,322.0,90.0,107.0,78.0,1.0,2019.0,12899.0,32.0,1
113,0,1.0,1.0,0.0,5.0,11533.0,111.0,12.0,1108.0,525.0,1115.0,233.0,318.0,544.0,104.0,345.0,242.0,0.387294290679021,2014.0,15936.0,68.0,1
114,1,1.0,1.0,1.0,4.0,4438.0,1148.0,7.0,332.0,222.0,807.0,761.0,1211.0,1191.0,736.0,312.0,208.0,0.1839790083925955,2016.0,12044.0,79.0,1
115,0,1.0,1.0,2.0,1.0,17941.0,8297.0,23.0,268.0,596.0,1422.0,700.0,839.0,197.0,736.0,294.0,161.0,0.4144789848889739,2027.0,39767.0,27.0,1
116,0,0.0,0.0,5.0,1.0,13273.0,8297.0,19.0,172.0,361.0,459.0,844.0,782.0,62.0,736.0,473.0,142.0,0.308862880379154,2016.0,32239.0,78.0,1
117,0,1.0,1.0,1.0,5.0,39047.0,4218.0,14.0,133.0,715.0,743.0,1838.0,1304.0,2096.0,736.0,386.0,306.0,0.6720084118498342,2013.0,62683.0,45.0,1
119,0,1.0,0.0,1.0,5.0,20495.0,2880.0,21.0,2290.125,343.0,464.0,729.0,127.0,727.0,177.0,342.0,46.0,0.2394492208095545,2015.0,27933.0,51.0,1
120,0,2.0,1.0,0.0,5.0,15447.0,2470.0,9.0,1509.0,760.0,123.0,155.0,195.0,1679.0,37.0,454.0,77.0,0.0968668732267962,2014.0,22829.0,61.0,1
121,0,1.0,1.0,1.0,5.0,5808.0,4276.0,14.0,253.0,1238.5,483.0,810.0,688.0,527.0,53.0,365.0,234.0,0.3772197795413153,2015.0,14113.0,67.0,1
122,0,0.0,3.0,2.0,2.0,27671.0,4881.0,10.0,841.0,769.0,1084.0,1975.0,1495.0,1675.0,589.0,725.0,334.0,0.2948555068239735,2010.0,41764.0,86.0,1
123,0,2.0,5.0,2.0,3.0,21123.0,6172.0,10.0,645.0,441.0,1675.0,1048.0,551.0,1043.0,285.0,362.0,193.0,0.1445167673416348,2013.0,33345.0,74.0,1
124,0,1.0,1.0,0.0,3.0,8783.0,389.0,8.0,1441.0,636.0,28.0,394.0,113.0,1850.0,301.0,434.0,93.0,0.0620544519024242,2013.0,14369.0,64.0,1
125,0,1.0,1.0,1.0,6.0,11748.0,3007.0,12.0,2113.0,271.0,487.0,36.0,511.0,194.0,174.0,78.0,141.0,0.0487000090505459,2009.0,18108.0,56.0,1
126,1,1.0,1.0,3.0,2.0,39047.0,603.0,7.0,681.0,356.0,560.0,1160.0,733.0,326.0,140.0,431.0,91.0,0.3754775304388258,2008.0,44916.0,65.0,1
127,0,2.0,2.0,3.0,3.0,33638.0,5350.0,11.0,456.0,429.0,1910.5,797.0,1155.0,919.0,347.0,449.0,265.0,0.1186399888586964,2009.0,45519.0,51.0,1
128,0,1.0,0.0,2.0,1.0,12370.0,8297.0,17.0,70.0,934.0,926.0,797.0,542.0,686.0,736.0,608.0,190.0,0.1384508490854341,2013.0,28632.0,48.0,1
129,0,1.0,1.0,1.0,6.0,12778.0,1292.0,15.0,1107.0,450.0,55.0,117.0,212.0,2237.5,96.0,331.0,93.0,0.1082669773806148,2014.0,18742.0,60.0,1
130,1,1.0,1.0,1.0,1.0,6348.0,1306.0,8.0,753.0,298.0,302.0,729.0,453.0,1001.0,170.0,466.0,152.0,0.0563920819977854,2004.0,11097.0,60.0,1
131,0,0.0,0.0,1.0,5.0,14204.0,50.0,11.0,431.0,161.0,70.0,720.0,85.0,695.0,271.0,422.0,78.0,0.4462437367804165,2006.0,17109.0,84.0,1
132,1,0.0,0.0,1.0,4.0,16795.0,1065.0,7.0,448.0,380.0,857.0,891.0,865.0,195.0,405.0,472.0,431.0,0.1781003282272197,2020.0,22373.0,53.0,1
134,1,2.0,0.0,2.0,3.0,10977.0,2641.0,8.0,251.0,182.0,483.0,769.0,302.0,772.0,120.0,365.0,40.0,0.71366046687001,2021.0,16379.0,33.0,1
135,1,1.0,1.0,0.0,2.0,22535.0,443.0,12.0,442.0,534.0,562.0,1069.0,775.0,387.0,259.0,501.0,185.0,0.3263956215524193,2010.0,27507.0,72.0,1
136,0,2.0,1.0,2.0,2.0,10520.0,272.0,12.0,349.0,296.0,898.0,612.0,729.0,291.0,33.0,344.0,40.0,-0.0648119844765999,2015.0,14344.0,31.0,1
137,1,1.0,1.0,1.0,1.0,751.0,2537.0,14.0,2222.0,397.0,467.0,58.0,6.0,643.0,270.0,155.0,101.0,0.1944272507874001,2017.0,7506.0,36.0,1
138,0,1.0,1.0,2.0,5.0,13332.0,616.0,6.0,437.0,124.0,165.0,756.0,192.0,316.0,736.0,404.0,78.0,1.0,2018.0,17562.0,83.0,0
139,1,1.0,1.0,2.0,2.0,15573.0,1577.0,17.0,2072.0,476.0,284.0,60.0,101.0,946.0,172.0,436.0,130.0,0.0714678531148806,2014.0,21697.0,82.0,1
141,0,0.0,0.0,0.0,2.0,11257.0,412.0,9.0,1636.0,485.0,103.0,99.0,85.0,1846.0,115.0,14.0,191.0,0.3048021967941131,2028.0,16052.0,26.0,1
142,1,1.0,1.0,1.0,3.0,37540.0,7987.0,14.0,341.0,550.0,600.0,1092.0,1484.0,1406.0,250.0,344.0,208.0,0.2920558504238301,2011.0,51594.0,64.0,1
144,0,0.0,0.0,0.0,1.0,17667.0,8297.0,23.0,194.0,675.0,1498.0,1076.0,1552.0,250.0,736.0,222.0,13.0,0.1337089288885119,2018.0,37321.0,72.0,1
145,0,0.0,0.0,1.0,1.0,9182.0,8297.0,22.0,140.0,488.0,877.0,1226.0,252.0,553.0,736.0,211.0,70.0,0.1893633387075076,2017.0,33219.0,29.0,1
146,0,1.0,1.0,1.0,3.0,907.0,3355.0,17.0,1817.0,366.0,512.0,73.0,84.0,157.0,162.0,246.0,98.0,0.1767238511211073,2016.0,7679.0,41.0,1
147,1,1.0,1.0,1.0,4.0,17730.0,4458.0,8.0,446.0,922.0,900.0,1149.0,967.0,422.0,53.0,358.0,250.0,0.7374861623854699,2015.0,27405.0,67.0,1
148,1,1.0,0.0,0.0,3.0,11485.0,2801.0,20.0,1923.0,575.0,333.0,33.0,46.0,1294.0,175.0,393.0,135.0,0.0885073597180919,2021.0,19058.0,26.0,1
149,0,4.0,2.0,1.0,7.0,10006.0,6311.0,10.0,1175.0,855.0,454.0,1235.0,762.0,381.0,450.0,266.0,221.0,0.0666798259484575,2017.0,21895.0,47.0,1
152,0,2.0,0.0,2.0,2.0,8303.0,509.0,11.0,239.0,65.0,929.0,516.0,125.0,316.0,96.0,34.0,47.0,0.1510163497690327,2021.0,11132.0,32.0,1
154,1,0.0,0.0,2.0,3.0,1640.0,8297.0,21.0,239.0,424.0,1313.0,901.0,322.0,67.0,736.0,414.0,78.0,0.2394492208095545,2014.0,22976.0,46.0,1
157,1,1.0,1.0,1.0,5.0,21126.0,76.0,11.0,203.0,47.0,438.0,922.0,480.0,961.0,144.0,438.0,151.0,0.2080022696024123,2021.0,24835.0,82.0,1
158,1,0.0,0.0,0.0,6.0,15994.0,2429.0,21.0,518.0,368.0,1910.5,566.0,319.0,329.0,330.0,300.0,267.0,0.1711592129755237,2019.0,23254.0,52.0,1
159,0,1.0,0.0,1.0,1.0,2405.0,441.0,14.0,52.0,161.0,124.0,731.0,193.0,733.0,22.0,255.0,57.0,0.3044884290758736,2019.0,5117.0,30.0,1
160,1,1.0,1.0,1.0,4.0,7255.0,4726.0,15.0,2110.0,260.0,256.0,867.0,4.0,1279.0,198.0,160.0,105.0,0.1140574922896318,2012.0,17115.0,72.0,1
161,0,1.0,1.0,0.0,5.0,26592.0,493.0,10.0,446.0,343.0,58.0,913.0,166.0,1545.0,317.0,511.0,132.0,0.117907794408832,2013.0,31384.0,39.0,1
162,0,2.0,1.0,2.0,3.0,9711.0,1760.0,8.0,190.0,323.0,604.0,522.0,344.0,42.0,64.0,265.0,58.0,0.5397095963723127,2014.0,13825.0,31.0,1
163,0,1.0,1.0,0.0,5.0,824.0,1423.0,16.0,2290.125,307.0,492.0,59.0,28.0,849.0,160.0,355.0,136.0,0.1783923803108049,2010.0,6864.0,61.0,1
165,0,2.0,3.0,2.0,3.0,32238.0,3945.0,7.0,941.0,918.0,1899.0,1239.0,1154.0,923.0,184.0,277.0,338.0,0.2355584069620473,2014.0,43718.0,45.0,1
166,0,2.0,1.0,0.0,3.0,17921.0,3733.0,23.0,389.0,628.0,876.0,1107.0,1818.0,225.0,409.0,292.0,200.0,0.3251259818541627,2005.0,27398.0,56.0,1
168,1,1.0,0.0,1.0,6.0,24401.0,128.0,6.0,586.0,337.0,812.0,365.0,454.0,844.0,614.0,226.0,283.0,0.4263491187909703,2025.0,28767.0,28.0,1
170,1,1.0,1.0,0.0,1.0,14041.0,8297.0,14.0,66.0,44.0,201.0,1419.0,1101.0,919.0,736.0,43.0,7.0,0.8194686783553898,2010.0,34709.0,64.0,1
171,1,1.0,1.0,1.0,5.0,15233.0,1593.0,8.0,471.0,6.0,402.0,713.0,285.0,1369.0,386.0,210.0,302.0,0.9666746923806052,2018.0,20197.0,26.0,1
172,1,0.0,1.0,1.0,4.0,2322.0,2311.0,23.0,1976.0,615.0,317.0,78.0,59.0,771.0,221.0,208.0,83.0,0.1570267816112585,2012.0,8878.0,48.0,1
173,0,3.0,1.0,1.0,4.0,15186.0,99.0,8.0,192.0,147.0,127.0,889.0,148.0,58.0,204.0,202.0,47.0,0.5763064077293749,2016.0,17252.0,74.0,1
174,0,1.0,1.0,0.0,1.0,3457.0,743.0,7.0,442.0,384.0,32.0,1431.0,896.0,980.0,301.0,562.0,150.0,0.1695331159678866,2009.0,9228.0,71.0,1
176,1,1.0,0.0,2.0,3.0,11598.0,310.0,12.0,204.0,170.0,162.0,490.0,324.0,457.0,140.0,347.0,43.0,0.4586538011493107,2015.0,14202.0,57.0,1
